instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation,source_file
MULT3,VIVA3,1Year,1ms,spearman,6,0.9109296085589508,6.881441593170166,1.1463775634765625,1704767,1574493,1704767,1574493,3267078,,correlation_instrument_combinations_part_1_736973_backup.csv
CMIG4,UGPA3,1Year,1H,kendall,2,0.2335379968806437,7.327543497085571,0.5604872703552246,3095210,1794061,2555,2170,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
PETR4,VBBR3,1Year,1S,kendall,9,-0.3888655016596524,20.080509901046756,1.12695574760437,5783697,2642833,7811787,9197570,2898381,,correlation_instrument_combinations_part_1_736973_backup.csv
HYPE3,RADL3,1Year,1ms,spearman,5,-0.7709875895872568,8.689595222473145,1.3685686588287354,1465959,2764740,1465959,2764740,4208021,,correlation_instrument_combinations_part_1_736973_backup.csv
CMIG4,GGBR4,1Year,1H,spearman,9,0.5989953905908257,8.678051710128784,0.5802857875823975,3095210,2814658,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
ENGI11,VALE3,1Year,1ms,spearman,8,0.4220086296499534,11.881032466888428,1.6968791484832764,1490072,4355401,1490072,4355401,5583839,,correlation_instrument_combinations_part_1_736973_backup.csv
ELET3,USIM5,1Year,1T,spearman,6,-0.1537208564226558,6.992182731628418,0.5877647399902344,3059464,1588823,153297,130197,88964,,correlation_instrument_combinations_part_1_736973_backup.csv
ALOS3,VAMO3,1Year,1D,pearson,5,,4.6852638721466064,,1494794,1938079,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
ASAI3,LREN3,1Year,1T,pearson,4,0.7848677875577984,8.626836776733398,0.0019018650054931,3149833,3132116,153297,153293,102289,,correlation_instrument_combinations_part_1_736973_backup.csv
CSAN3,HYPE3,1Year,1H,pearson,3,-0.264306009573323,5.496152639389038,0.0015523433685302,2531894,1465959,2170,2555,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
MULT3,VALE3,1Year,1S,spearman,9,0.3970435418333198,16.635403871536255,0.9852063655853271,1704767,4355401,9197819,7811393,2361937,,correlation_instrument_combinations_part_1_736973_backup.csv
BEEF3,EQTL3,1Year,1S,pearson,10,0.3856092969180653,14.423401117324827,0.0440211296081543,1994111,2934890,9197788,9197573,2473746,,correlation_instrument_combinations_part_1_736973_backup.csv
HYPE3,POMO4,1Year,1H,spearman,3,0.1141727145520575,6.119980573654175,0.5619053840637207,1465959,2603793,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
ABEV3,VIVA3,1Year,1T,spearman,1,0.0071577626174559,9.159178733825684,0.57259202003479,4486771,1574493,153297,153293,102651,,correlation_instrument_combinations_part_1_736973_backup.csv
BRAV3,VIVA3,1Year,1T,pearson,5,-0.5197115151487711,5.302037239074707,0.0018157958984375,2211028,1574493,153297,153293,102497,,correlation_instrument_combinations_part_1_736973_backup.csv
EQTL3,MULT3,1Year,1D,kendall,1,,6.329407691955566,,2934890,1704767,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
RENT3,SBSP3,1Year,1H,spearman,3,0.5549362776977692,7.572212934494018,0.5699477195739746,3085387,2043096,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
B3SA3,ITSA4,1Year,1D,kendall,6,,12.027798652648926,,4557170,3800661,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
BBSE3,HYPE3,1Year,1T,kendall,8,-0.1877098594641613,5.4474687576293945,0.5753464698791504,2027918,1465959,153297,153293,102666,,correlation_instrument_combinations_part_1_736973_backup.csv
BBDC4,CXSE3,1Year,1T,kendall,7,-0.0976431930762779,9.391738176345823,0.586207389831543,4490500,1692802,130190,153297,88985,,correlation_instrument_combinations_part_1_736973_backup.csv
BRAV3,TOTS3,1Year,1T,pearson,8,-0.5500803087988816,5.923193454742432,0.0024781227111816,2211028,1702042,153297,153293,102406,,correlation_instrument_combinations_part_1_736973_backup.csv
CMIN3,USIM5,1Year,1H,kendall,6,0.4383606671168304,4.808183908462524,0.561532735824585,1433386,1588823,2555,2170,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
RADL3,VALE3,1Year,1D,pearson,6,,9.673796892166138,,2764740,4355401,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
CSNA3,POMO4,1Year,1S,pearson,5,-0.0382790116659684,13.71908950805664,0.0407865047454834,1753841,2603793,9197573,9197778,2343447,,correlation_instrument_combinations_part_1_736973_backup.csv
MRVE3,USIM5,1Year,1S,spearman,6,-0.5670766497844729,12.424103021621704,0.8785557746887207,1758559,1588823,9197788,7811775,1769655,,correlation_instrument_combinations_part_1_736973_backup.csv
ALOS3,LREN3,1Year,1D,pearson,3,,6.35331130027771,,1494794,3132116,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
COGN3,SBSP3,1Year,1S,spearman,2,0.9435918380326884,14.542397260665894,0.9569203853607178,2640596,2043096,7811757,9197778,2185934,,correlation_instrument_combinations_part_1_736973_backup.csv
CPLE6,PRIO3,1Year,1S,spearman,8,-0.1040820110201906,15.66861629486084,0.981720209121704,3024581,2583061,9197789,7811768,2349250,,correlation_instrument_combinations_part_1_736973_backup.csv
ENEV3,HYPE3,1Year,1S,spearman,7,0.6231602202635166,12.757814168930054,0.8399484157562256,2096459,1465959,7811387,9197562,1667139,,correlation_instrument_combinations_part_1_736973_backup.csv
VBBR3,VIVA3,1Year,1S,spearman,2,0.9104488906385207,14.231367349624634,0.9439358711242676,2642833,1574493,9197570,9197570,2127579,,correlation_instrument_combinations_part_1_736973_backup.csv
COGN3,SUZB3,1Year,1ms,spearman,10,-0.7398326339268274,9.975151538848875,1.516566038131714,2640596,2157162,2640596,2157162,4777130,,correlation_instrument_combinations_part_1_736973_backup.csv
BBSE3,POMO4,1Year,1T,kendall,3,-0.5743264199700956,6.960573196411133,0.576124906539917,2027918,2603793,153297,153297,102593,,correlation_instrument_combinations_part_1_736973_backup.csv
KLBN11,SBSP3,1Year,1S,pearson,9,-0.8288077826774399,12.831516981124878,0.0328826904296875,1706371,2043096,9197820,9197778,1808146,,correlation_instrument_combinations_part_1_736973_backup.csv
B3SA3,BBDC4,1Year,1D,pearson,2,,12.749472379684448,,4557170,4490500,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
ALOS3,CXSE3,1Year,1T,pearson,6,-0.2344099134971619,4.502665042877197,0.0018074512481689,1494794,1692802,153297,153297,102665,,correlation_instrument_combinations_part_1_736973_backup.csv
HAPV3,PETR3,1Year,1H,pearson,4,-0.5759887765066694,8.181041717529297,0.0009734630584716,3754418,2313747,2170,2170,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
ASAI3,COGN3,1Year,1H,pearson,10,0.7864734354332076,7.9666266441345215,0.0015497207641601,3149833,2640596,2555,2170,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
CYRE3,PRIO3,1Year,1H,spearman,5,-0.3373853704755746,6.783725023269653,0.5612728595733643,1990807,2583061,2555,2170,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
BBSE3,TIMS3,1Year,1D,kendall,7,,5.574466466903687,,2027918,2024239,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
KLBN11,PETR3,1Year,1D,pearson,6,,5.543672323226929,,1706371,2313747,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
BBAS3,ITUB4,1Year,1H,kendall,4,-0.2776344300509979,13.805967330932615,0.5761711597442627,4920259,4553920,2170,2170,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
RADL3,SMFT3,1Year,1S,pearson,1,-0.4904840121381301,13.71560764312744,0.0400393009185791,2764740,1640080,9197565,9197937,2224598,,correlation_instrument_combinations_part_1_736973_backup.csv
GGBR4,MULT3,1Year,1D,spearman,6,,6.270231008529663,,2814658,1704767,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
ITSA4,TIMS3,1Year,1ms,spearman,5,0.8905409963014463,12.085478067398071,1.6193032264709473,3800661,2024239,3800661,2024239,5486525,,correlation_instrument_combinations_part_1_736973_backup.csv
RAIL3,TIMS3,1Year,1D,kendall,10,,6.908182144165039,,3015133,2024239,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
B3SA3,VIVA3,1Year,1ms,kendall,5,0.3835505140714523,12.85705542564392,1.8471441268920896,4557170,1574493,4557170,1574493,5900515,,correlation_instrument_combinations_part_1_736973_backup.csv
ALOS3,PETR4,1Year,1D,kendall,8,,9.887330055236816,,1494794,5783697,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
SMFT3,SUZB3,1Year,1ms,spearman,3,-0.734810625035917,7.693682670593262,1.2254235744476318,1640080,2157162,1640080,2157162,3629532,,correlation_instrument_combinations_part_1_736973_backup.csv
HYPE3,SUZB3,1Year,1D,spearman,4,,4.965812921524048,,1465959,2157162,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
RADL3,VALE3,1Year,1ms,kendall,8,0.0462145778883992,14.75283980369568,2.185864210128784,2764740,4355401,2764740,4355401,6731109,,correlation_instrument_combinations_part_1_736973_backup.csv
KLBN11,MULT3,1Year,1H,pearson,3,-0.7510226426161487,4.709967613220215,0.0008614063262939,1706371,1704767,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
EQTL3,RDOR3,1Year,1ms,kendall,2,0.7429081492428445,11.01623511314392,1.7267804145812988,2934890,2306821,2934890,2306821,5177770,,correlation_instrument_combinations_part_1_736973_backup.csv
ELET3,RADL3,1Year,1S,kendall,1,-0.1834870369274357,16.914639472961426,1.1006321907043457,3059464,2764740,9197768,9197565,2522384,,correlation_instrument_combinations_part_1_736973_backup.csv
ALOS3,TIMS3,1Year,1D,kendall,6,,4.844061374664307,,1494794,2024239,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
ABEV3,MRVE3,1Year,1D,pearson,3,,8.737190246582031,,4486771,1758559,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
BBAS3,CSNA3,1Year,1ms,spearman,10,0.7136339062186773,14.234804391860962,1.8092515468597408,4920259,1753841,4920259,1753841,6409592,,correlation_instrument_combinations_part_1_736973_backup.csv
VIVT3,WEGE3,1Year,1H,spearman,6,0.4072344683733244,6.993826627731323,0.5590524673461914,2100935,2589087,2555,2170,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
KLBN11,RENT3,1Year,1S,pearson,9,-0.505964239311116,14.266033172607422,0.0391256809234619,1706371,3085387,9197820,9197767,2289997,,correlation_instrument_combinations_part_1_736973_backup.csv
HYPE3,POMO4,1Year,1ms,spearman,4,0.1042520217398511,8.274318218231201,1.3072683811187744,1465959,2603793,1465959,2603793,4050794,,correlation_instrument_combinations_part_1_736973_backup.csv
CYRE3,RAIZ4,1Year,1S,kendall,9,-0.5763678461157583,14.547330617904665,0.9592323303222656,1990807,2328423,9197784,9197779,2314382,,correlation_instrument_combinations_part_1_736973_backup.csv
USIM5,VALE3,1Year,1S,kendall,2,0.139613878053631,15.706368684768677,1.0520360469818115,1588823,4355401,7811775,7811393,2490495,,correlation_instrument_combinations_part_1_736973_backup.csv
BEEF3,CSNA3,1Year,1S,kendall,8,0.149366328465693,13.609054803848268,0.9466173648834229,1994111,1753841,9197788,9197573,2088737,,correlation_instrument_combinations_part_1_736973_backup.csv
BEEF3,VALE3,1Year,1T,spearman,1,0.4708237932394434,9.33825945854187,0.5897159576416016,1994111,4355401,153297,130190,88496,,correlation_instrument_combinations_part_1_736973_backup.csv
CMIG4,CMIN3,1Year,1D,pearson,10,,6.183556795120239,,3095210,1433386,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
KLBN11,RAIZ4,1Year,1H,spearman,6,0.7655216013858303,6.12112832069397,0.5604984760284424,1706371,2328423,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
ENEV3,RENT3,1Year,1H,pearson,2,0.5532709510372955,7.059366226196289,0.0008997917175292,2096459,3085387,2170,2555,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
ELET3,TIMS3,1Year,1H,spearman,8,0.8662821492751075,7.528566837310791,0.5710675716400146,3059464,2024239,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
SMFT3,VIVA3,1Year,1S,spearman,8,0.802490137259811,12.911413192749023,0.8664383888244629,1640080,1574493,9197937,9197570,1716292,,correlation_instrument_combinations_part_1_736973_backup.csv
BRAV3,SUZB3,1Year,1ms,kendall,1,0.5267444941627366,9.001685619354248,1.4693167209625244,2211028,2157162,2211028,2157162,4045117,,correlation_instrument_combinations_part_1_736973_backup.csv
LREN3,MRVE3,1Year,1D,spearman,6,,6.715596437454224,,3132116,1758559,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
BRAV3,HYPE3,1Year,1D,pearson,7,,5.346085548400879,,2211028,1465959,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
SUZB3,VIVT3,1Year,1H,pearson,3,0.6990256325526479,5.797252893447876,0.0015304088592529,2157162,2100935,2170,2555,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
BRAV3,ENGI11,1Year,1D,pearson,7,,5.161126375198364,,2211028,1490072,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
ALOS3,ENGI11,1Year,1D,kendall,2,,4.122073650360107,,1494794,1490072,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
BPAC11,ENEV3,1Year,1D,spearman,9,,7.169822931289673,,2880579,2096459,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
HYPE3,SMFT3,1Year,1D,spearman,3,,4.288956880569458,,1465959,1640080,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
CMIG4,RAIL3,1Year,1ms,kendall,1,0.1617600836342365,12.73988127708435,1.924062967300415,3095210,3015133,3095210,3015133,6063561,,correlation_instrument_combinations_part_1_736973_backup.csv
CSAN3,CYRE3,1Year,1S,pearson,10,-0.5191466395640513,13.17570972442627,0.0382957458496093,2531894,1990807,7811390,9197784,2148719,,correlation_instrument_combinations_part_1_736973_backup.csv
BPAC11,SUZB3,1Year,1D,pearson,3,,6.978787660598755,,2880579,2157162,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
SUZB3,VIVA3,1Year,1H,kendall,7,-0.4873315344434139,5.693403959274292,0.5613977909088135,2157162,1574493,2170,2555,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
EQTL3,PETR3,1Year,1ms,spearman,3,-0.7503856278279993,10.489136934280396,1.499413251876831,2934890,2313747,2934890,2313747,4723435,,correlation_instrument_combinations_part_1_736973_backup.csv
